,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
229,0.0,23600.0,37.0,0.0,0,73.0,3.0,0.0,0.0,556960000.0,1369.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
230,0.0,23600.0,30.0,1.0,1,67.0,3.0,0.0,0.0,556960000.0,900.0,10.069001991013701,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
231,0.0,23600.0,23.0,0.0,0,66.0,3.0,0.0,0.0,556960000.0,529.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
232,7000.0,23600.0,18.0,0.0,0,43.0,1.0,0.0,0.0,556960000.0,324.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
233,40000.0,23600.0,11.0,0.0,1,32.0,1.0,1.0,0.0,556960000.0,121.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
234,27000.0,23600.0,7.0,0.0,1,32.0,1.0,1.0,12.0,556960000.0,49.0,10.069001991013701,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
235,21000.0,23600.0,30.0,0.0,0,50.0,1.0,1.0,10.0,556960000.0,900.0,10.069001991013701,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
236,15000.0,23600.0,5.0,0.0,0,31.0,0.0,0.0,0.0,556960000.0,25.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
237,13000.0,23600.0,26.0,0.0,0,50.0,4.0,0.0,0.0,556960000.0,676.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
238,40000.0,23600.0,10.0,0.0,1,51.0,3.0,0.0,0.0,556960000.0,100.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
239,0.0,23600.0,0.0,0.0,0,30.0,3.0,0.0,0.0,556960000.0,0.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
240,12700.0,23600.0,4.0,0.0,0,27.0,1.0,0.0,0.0,556960000.0,16.0,10.069001991013701,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
241,0.0,23600.0,40.0,0.0,0,84.0,1.0,0.0,0.0,556960000.0,1600.0,10.069001991013701,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
242,0.0,23600.0,27.0,0.0,0,75.0,2.0,0.0,0.0,556960000.0,729.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
243,0.0,23600.0,38.0,0.0,1,75.0,2.0,0.0,0.0,556960000.0,1444.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
244,13000.0,23600.0,28.0,0.0,0,52.0,2.0,0.0,28.0,556960000.0,784.0,10.069001991013701,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
